Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
test pit,,,344414.390,4482538.484,2109.945,,-106.83554506,40.47896927,2109.945,Global,0.010,0.010,0.010,0.014,1.084,m,FIX,RTK,2026-05-25 14:02:08.6 UTC-06:00,2026-05-25 14:02:08.6 UTC-06:00,1,1.1,1.3,344402.917,4482557.054,2110.142,-106.83568491,40.47913433,2110.142,21.856,,WGS 84 / UTM zone 13N,8,4,9,6,0,Reach RS3,82437308b6c6ad5b
small mine entrance,,,344424.297,4482539.231,2108.073,,-106.83542842,40.47897786,2108.073,Global,0.010,0.010,0.016,0.014,1.084,m,FIX,RTK,2026-05-25 14:05:37.8 UTC-06:00,2026-05-25 14:05:37.8 UTC-06:00,1,1.4,1.6,344402.917,4482557.054,2110.142,-106.83568491,40.47913433,2110.142,27.864,,WGS 84 / UTM zone 13N,8,4,9,6,0,Reach RS3,82437308b6c6ad5b
above big entrance to mine,,,344429.718,4482525.846,2108.577,,-106.83536122,40.47885835,2108.577,Global,0.010,0.010,0.010,0.014,1.084,m,FIX,RTK,2026-05-25 14:08:56.8 UTC-06:00,2026-05-25 14:08:56.8 UTC-06:00,1,1.2,1.4,344402.917,4482557.054,2110.142,-106.83568491,40.47913433,2110.142,41.158,,WGS 84 / UTM zone 13N,8,4,9,6,0,Reach RS3,82437308b6c6ad5b
