station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid,easting,northing,station_m,elevation_m,gravity_tied_mgal,free_air_correction_mgal,reference_elevation_m,obs_height_used_m,harmonica_gz_mgal,gravity_free_air_only_mgal,harmonica_gz_relative_mgal,corrected_add_rel_mgal,corrected_subtract_rel_mgal,gravity_harmonica_lidar_corrected_mgal,dem_x,dem_y,dem_x_fixed_line,dem_y_fixed_line,dem_elevation_m_raw_fixed_line,dem_elevation_m_fixed,gps_minus_dem_fixed_m,elevation_m_original,elevation_m_fixed_dem,height_above_reference_m,bouguer_correction_mgal,gravity_simple_bouguer_corrected_mgal,elev_m_original
1.0,40.4787,-106.8355,2111.5461,3891.8183,3891.8184,0.0162,0.49507096,651.9238,41422,3,0.0012,2026-05-27 12:32:56.666666,344417.7087744084,4482508.4509999165,1.0,2111.5461,0.0162,0.49507096,2110.795996875,2111.7961,-1.477545784688764,0.51127096,0.031997867610477515,0.5432688276104776,0.47927309238952254,0.47927309238952254,2628495.2593419235,1420028.4139419803,2628495.2593419235,1420028.4139419803,2124.1094,2111.5461,0.9218574218748472,2112.468,2111.5461,1.604248,0.17960055,0.3316704123735428,2111.5461
3.0,40.4787,-106.8355,2111.4756,3891.8427,3891.8428,0.0406,0.47329718,651.6708,41422,3,0.0023,2026-05-27 12:42:05.666666,344417.7087744084,4482508.4509999165,3.0,2111.4756,0.0406,0.47329718,2110.795996875,2111.7256,-1.4913995248294618,0.51389718,0.01814412746977978,0.5320413074697797,0.4957530525302202,0.4957530525302202,2628495.2593419235,1420028.4139419803,2628493.3509005858,1420033.6476138216,2124.0388,2111.4756,0.0934140624999599,2111.569,2111.4756,1.5336914,0.1717015,0.3421956729650497,2111.4756
4.0,40.4787,-106.8355,2111.4346,3891.865,3891.8652,0.063,0.46063974,651.7311,41422,3,0.002,2026-05-27 12:54:13.666666,344417.7087744084,4482508.4509999165,4.0,2111.4346,0.063,0.46063974,2110.795996875,2111.6846,-1.4994575320364896,0.52363974,0.010086120262752019,0.533725860262752,0.513553619737248,0.513553619737248,2628495.2593419235,1420028.4139419803,2628492.3966799174,1420036.264449742,2123.9978,2111.4346,0.2574296875000073,2111.692,2111.4346,1.4926758,0.16710968,0.356530061841011,2111.4346
5.0,40.4787,-106.8355,2111.3806,3891.8853,3891.8855,0.0833,0.44398922,651.804,41422,3,0.0065,2026-05-27 12:59:38.666666,344417.7087744084,4482508.4509999165,5.0,2111.3806,0.0833,0.44398922,2110.795996875,2111.6306,-1.5100718897910097,0.52728922,-0.0005282374917681132,0.5267609825082319,0.5278174574917681,0.5278174574917681,2628495.2593419235,1420028.4139419803,2628491.4424592485,1420038.8812856623,2123.9438,2111.3806,0.48138476562508,2111.862,2111.3806,1.4387207,0.16106924,0.3662199731349945,2111.3806
6.0,40.4787,-106.8355,2111.3364,3891.8993,3891.8996,0.0974,0.43035236,651.7958,41422,3,0.0031,2026-05-27 13:05:21.666666,344417.7087744084,4482508.4509999165,6.0,2111.3364,0.0974,0.43035236,2110.795996875,2111.5864,-1.5187611003682946,0.52775236,-0.009217448069053003,0.518534911930947,0.536969808069053,0.536969808069053,2628495.2593419235,1420028.4139419803,2628490.48823858,1420041.4981215831,2123.8997,2111.3364,0.4535742187499636,2111.79,2111.3364,1.3945312,0.1561221,0.3716302566766739,2111.3364
7.0,40.4787,-106.8355,2111.2737,3891.914,3891.9143,0.1121,0.41098952,651.6549,41422,3,0.0026,2026-05-27 13:10:46.666666,344417.7087744084,4482508.4509999165,7.0,2111.2737,0.1121,0.41098952,2110.795996875,2111.5237,-1.5310889937874266,0.52308952,-0.021545341488184988,0.501544178511815,0.544634861488185,0.544634861488185,2628495.2593419235,1420028.4139419803,2628489.5340179107,1420044.1149575035,2123.837,2111.2737,0.0123183593750582,2111.286,2111.2737,1.3317871,0.1490977,0.3739918269872665,2111.2737
8.0,40.4787,-106.8355,2111.2446,3891.9357,3891.936,0.1338,0.40202385,651.6353,41422,3,0.0025,2026-05-27 13:17:08.666666,344417.7087744084,4482508.4509999165,8.0,2111.2446,0.1338,0.40202385,2110.795996875,2111.4946,-1.5368112682530037,0.53582385,-0.027267615953762148,0.5085562340462378,0.5630914659537621,0.5630914659537621,2628495.2593419235,1420028.4139419803,2628488.579797242,1420046.7317934243,2123.8079,2111.2446,-0.0926289062499563,2111.152,2111.2446,1.3027344,0.14584516,0.389978691983223,2111.2446
9.0,40.4787,-106.8355,2111.2625,3891.9553,3891.9557,0.1535,0.40752378,651.6738,41422,3,0.0015,2026-05-27 13:23:11.666666,344417.7087744084,4482508.4509999165,9.0,2111.2625,0.1535,0.40752378,2110.795996875,2111.5125,-1.5332913274398554,0.56102378,-0.023747675140613822,0.5372761048593861,0.5847714551406138,0.5847714551406138,2628495.2593419235,1420028.4139419803,2628487.625576573,1420049.348629345,2123.8257,2111.2625,-0.0494511718748071,2111.213,2111.2625,1.3205566,0.14784041,0.4131833705902099,2111.2625
10.0,40.4787,-106.8355,2111.255,3891.9743,3891.9747,0.1725,0.4051882,651.6737,41422,3,0.0006,2026-05-27 13:29:13.666666,344417.7087744084,4482508.4509999165,10.0,2111.255,0.1725,0.4051882,2110.795996875,2111.505,-1.5347661420523913,0.5776882,-0.02522248975314967,0.5524657102468503,0.6029106897531497,0.6029106897531497,2628495.2593419235,1420028.4139419803,2628486.6713559045,1420051.965465265,2123.818,2111.255,-0.10388281250016,2111.151,2111.255,1.3129883,0.14699312,0.430695087313652,2111.255
11.0,40.4788,-106.8355,2111.1765,3891.988,3891.9884,0.1862,0.38100347,651.646,41422,3,0.0026,2026-05-27 13:33:56.666666,344417.93971805216,4482519.5518337395,11.0,2111.1765,0.1862,0.38100347,2110.795996875,2111.4265,-1.4566217163679858,0.56720347,0.052921935931255826,0.6201254059312559,0.5142815340687442,0.5142815340687442,2628495.80798566,1420064.8401613522,2628485.717135236,1420054.582301186,2123.7397,2111.1765,-0.1595136718751746,2111.017,2111.1765,1.2346191,0.13821945,0.4289840232849121,2111.1765
