station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument,gps_longitude,gps_latitude,gps_elevation_m,easting_m,northing_m,dem_elevation_m_at_station,obs_height_used_m,harmonica_topography_effect_mgal,gravity_harmonica_lidar_corrected_mgal,harmonica_minus_simple_bouguer_mgal,simple_bouguer_minus_harmonica_effect_mgal
1.0,0.5893142506463243,2112.468,40.47866586,-106.83549494,0.8032858000000201,0.2914139193000073,0.0774423699463113,CG5-2,-106.83549494,40.47866586,2112.468,344418.05885412626,4482504.652252167,,,,,,
2.0,0.4239915715257628,2112.006,40.47867525,-106.83549789,0.6607126000000235,0.2396915871000085,0.0029705586257477,CG5-2,-106.83549789,40.47867525,2112.006,344417.8304754214,4482505.699822662,,,,,,
3.0,0.4232299722906466,2111.569,40.47868384,-106.83550036,0.525854400000055,0.1907680824000199,0.0881436546906115,CG5-2,-106.83550036,40.47868384,2111.569,344417.64093765186,4482506.657740033,,,,,,
4.0,0.458691717014218,2111.692,40.4786922,-106.835503,0.5638122000000696,0.2045383137000252,0.0994178307141737,CG5-2,-106.835503,40.4786922,2111.692,344417.43645829364,4482507.590425285,,,,,,
5.0,0.5075169606247298,2111.862,40.47870173,-106.83550428,0.616274200000092,0.2235703407000334,0.1148131013246711,CG5-2,-106.83550428,40.47870173,2111.862,344417.3499648378,4482508.65059198,,,,,,
6.0,0.5021486619325879,2111.79,40.47871137,-106.83550629,0.5940550000000561,0.2155097175000203,0.1236033794325521,CG5-2,-106.83550629,40.47871137,2111.79,344417.2018451892,4482509.724256931,,,,,,
7.0,0.4127672282957464,2111.286,40.47872081,-106.8355082,0.4385206000000853,0.1590853551000309,0.133331983395692,CG5-2,-106.8355082,40.47872081,2111.286,344417.0617404522,4482510.7755438695,,,,,,
8.0,0.4022819725287107,2111.152,40.4787299,-106.83551187,0.3971682000000808,0.1440836397000293,0.1491974122286592,CG5-2,-106.83551187,40.4787299,2111.152,344416.77163672505,4482511.791081617,,,,,,
9.0,0.4284276662343449,2111.213,40.47873782,-106.83551224,0.4159928000001268,0.150912778800046,0.1633476450342641,CG5-2,-106.83551224,40.47873782,2111.213,344416.7585636171,4482512.670920141,,,,,,
10.0,0.4297410325692206,2111.151,40.47874712,-106.83551337,0.3968596000000179,0.1439716866000065,0.1768531191692091,CG5-2,-106.83551337,40.47874712,2111.151,344416.6842543066,4482513.705290417,,,,,,
11.0,0.4127586654560778,2111.017,40.47875538,-106.83551551,0.3555072000000134,0.1289699712000049,0.1862214366560692,CG5-2,-106.83551551,40.47875538,2111.017,344416.5219280908,4482514.625993138,,,,,,
12.0,0.306394594885053,2110.432,40.4787628,-106.83551822,0.1749762000000022,0.0634774077000008,0.1948958025850515,CG5-2,-106.83551822,40.4787628,2110.432,344416.3093445444,4482515.454454048,,,,,,
12.5,0.3086086096600491,2110.407,40.47877146,-106.8355189,0.1672612000001145,0.0606785802000415,0.2020259898599761,CG5-2,-106.8355189,40.47877146,2110.407,344416.27170263,4482516.416985429,,,,,,
13.0,0.3593625696228942,2110.634,40.47877179,-106.8355199,0.2373134000000718,0.086091933900026,0.2081411035228484,CG5-2,-106.8355199,40.47877179,2110.634,344416.18769734364,4482516.455381666,,,,,,
13.5,0.290566840019504,2110.257,40.47878024,-106.83552017,0.1209712000000864,0.0438856152000313,0.2134812552194489,CG5-2,-106.83552017,40.47878024,2110.257,344416.1843251046,4482517.39387827,,,,,,
14.0,0.5452760407515923,2111.519,40.47877959,-106.83552282,0.5104243999999989,0.1851704273999996,0.2200220681515929,CG5-2,-106.83552282,40.47877959,2111.519,344415.9581903439,4482517.32639609,,,,,,
14.5,0.5676418311865024,2111.614,40.47878177,-106.83552425,0.5397414000000774,0.1958059719000281,0.223706403086453,CG5-2,-106.83552425,40.47878177,2111.614,344415.84200760094,4482517.570916058,,,,,,
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.247139639179295,CG5-1,-106.83552433,40.47879099,2111.399,344415.85651951283,4482518.594554024,,,,,,
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.247139639179295,CG5-2,-106.83552433,40.47879099,2111.399,344415.85651951283,4482518.594554024,,,,,,
15.5,0.5175035665134607,2111.149,40.47879563,-106.83552641,0.3962424000000325,0.1437477804000118,0.26500894691344,CG5-1,-106.83552641,40.47879563,2111.149,344415.69091929815,4482519.113300779,,,,,,
16.0,0.4280339253508837,2110.686,40.47880082,-106.8355259,0.2533606000001134,0.0919134951000411,0.2665868204508115,CG5-1,-106.8355259,40.47880082,2110.686,344415.74613681965,4482519.688534679,,,,,,
