|"Side Slope"|||"42909590"|"16970601"
|"Side Slope"|||"42909589"|"16970600"
|"Side Slope"|||"42909588"|"16970599"
|"Side Slope"|||"42909587"|"16970598"
|"Side Slope"|||"42909586"|"16970597"
|"Base Slope"|||"42909585"|"16970596"
|"Side Slope"|||"42909584"|"16970595"
|||"Dip"|"42909693"|"16970681"
|||"Rise"|"42909693"|"16970680"
|||"Talf"|"42909693"|"16970679"
||"Tread"||"42909692"|"16970678"
||"Tread"||"42909691"|"16970677"
||"Tread"||"42909690"|"16970676"
|"Side Slope"|||"42909583"|"16970594"
||"Tread"||"42909582"|"16970593"
|||"Talf"|"42909580"|"16970592"
"Mountainflank"||||"42909579"|"16970591"
"Mountainflank"||||"42909578"|"16970590"
"Mountainflank"||||"42909577"|"16970589"
"Mountainflank"||||"42909576"|"16970588"
"Mountainflank"||||"42909575"|"16970587"
"Mountainflank"||||"42909574"|"16970586"
"Mountainflank"||||"42909573"|"16970585"
|"Side Slope"|||"42909572"|"16970584"
|"Side Slope"|||"42909571"|"16970583"
|"Side Slope"|||"42909570"|"16970582"
|"Head Slope"|||"42909569"|"16970581"
|"Nose Slope"|||"42909568"|"16970580"
|"Side Slope"|||"42909869"|"16970830"
|"Interfluve"|||"42909868"|"16970829"
|"Base Slope"|||"42909867"|"16970828"
|"Side Slope"|||"42909866"|"16970827"
"Mountainflank"||||"42909865"|"16970826"
|"Side Slope"|||"42909864"|"16970825"
|||"Talf"|"42909862"|"16970824"
|"Side Slope"|||"42909861"|"16970823"
|"Side Slope"|||"42909860"|"16970822"
|"Side Slope"|||"42909858"|"16970821"
|"Side Slope"|||"42909857"|"16970820"
"Mountainflank"||||"42909856"|"16970819"
"Mountainflank"||||"42909854"|"16970818"
"Mountainflank"||||"42909853"|"16970817"
"Mountainflank"||||"42909852"|"16970816"
"Mountainflank"||||"42909850"|"16970815"
"Mountainflank"||||"42909849"|"16970814"
"Mountainbase"||||"42909843"|"16970809"
"Mountainflank"||||"42909842"|"16970808"
"Mountainflank"||||"42909841"|"16970807"
"Mountainflank"||||"42909840"|"16970806"
"Mountainflank"||||"42909839"|"16970805"
"Mountainflank"||||"42909838"|"16970804"
"Mountainflank"||||"42909837"|"16970803"
"Mountainbase"||||"42909836"|"16970802"
"Mountainbase"||||"42909835"|"16970801"
"Mountainbase"||||"42909834"|"16970800"
"Mountainbase"||||"42909833"|"16970799"
"Mountainflank"||||"42909832"|"16970798"
"Mountainflank"||||"42909831"|"16970797"
"Mountainflank"||||"42909830"|"16970796"
"Mountainbase"||||"42909829"|"16970795"
|"Base Slope"|||"42909828"|"16970794"
||"Tread"||"42909824"|"16970793"
"Mountainflank"||||"42909820"|"16970792"
"Mountainflank"||||"42909819"|"16970791"
"Mountainflank"||||"42909818"|"16970790"
"Mountainflank"||||"42909817"|"16970789"
|"Side Slope"|||"42909816"|"16970788"
|"Side Slope"|||"42909815"|"16970787"
|"Side Slope"|||"42909811"|"16970786"
|"Side Slope"|||"42909810"|"16970785"
|"Side Slope"|||"42909809"|"16970784"
|"Side Slope"|||"42909808"|"16970783"
|"Base Slope"|||"42909807"|"16970782"
|"Side Slope"|||"42909806"|"16970781"
|"Side Slope"|||"42909805"|"16970780"
"Lower third of mountainflank"||||"42909804"|"16970779"
"Mountainbase"||||"42909802"|"16970778"
"Mountainflank"||||"42909801"|"16970777"
"Mountainflank"||||"42909800"|"16970776"
"Mountainflank"||||"42909799"|"16970775"
|"Head Slope"|||"42909797"|"16970774"
|"Side Slope"|||"42909796"|"16970773"
|"Base Slope"|||"42909795"|"16970772"
|"Base Slope"|||"42909794"|"16970771"
|"Base Slope"|||"42909792"|"16970770"
|"Base Slope"|||"42909781"|"16970760"
|"Side Slope"|||"42909780"|"16970759"
|"Side Slope"|||"42909779"|"16970758"
|"Side Slope"|||"42909778"|"16970757"
|"Side Slope"|||"42909777"|"16970756"
|"Side Slope"|||"42909776"|"16970755"
|"Side Slope"|||"42909775"|"16970754"
"Mountainflank"||||"42909761"|"16970739"
"Mountainflank"||||"42909760"|"16970738"
"Mountainflank"||||"42909759"|"16970737"
|"Side Slope"|||"42909745"|"16970726"
|"Side Slope"|||"42909744"|"16970725"
|"Side Slope"|||"42909743"|"16970724"
|"Side Slope"|||"42909742"|"16970723"
|"Side Slope"|||"42909741"|"16970722"
|"Side Slope"|||"42909740"|"16970721"
|"Side Slope"|||"42909739"|"16970720"
|"Side Slope"|||"42909738"|"16970719"
|"Side Slope"|||"42909737"|"16970718"
|"Side Slope"|||"42909736"|"16970717"
|"Side Slope"|||"42909735"|"16970716"
"Mountainflank"||||"42909734"|"16970715"
"Mountainflank"||||"42909733"|"16970714"
|"Base Slope"|||"42909726"|"16970709"
|"Side Slope"|||"42909725"|"16970708"
|"Side Slope"|||"42909724"|"16970707"
|"Side Slope"|||"42909723"|"16970706"
|"Side Slope"|||"42909722"|"16970705"
|"Side Slope"|||"42909721"|"16970704"
|"Side Slope"|||"42909720"|"16970703"
|"Side Slope"|||"42909719"|"16970702"
|"Side Slope"|||"42909718"|"16970701"
|"Side Slope"|||"42909717"|"16970700"
|"Side Slope"|||"42909716"|"16970699"
|"Side Slope"|||"42909715"|"16970698"
|"Side Slope"|||"42909714"|"16970697"
"Mountainflank"||||"42909708"|"16970694"
|"Side Slope"|||"42909707"|"16970693"
"Mountainflank"||||"42909706"|"16970692"
"Mountainflank"||||"42909705"|"16970691"
"Mountainflank"||||"42909704"|"16970690"
|"Side Slope"|||"42909729"|"16970711"
|"Side Slope"|||"42909728"|"16970710"
||"Tread"||"42909549"|"16970561"
|||"Talf"|"42909548"|"16970560"
|||"Talf"|"42909547"|"16970559"
|"Side Slope"|||"42909505"|"16970523"
|"Side Slope"|||"42909504"|"16970522"
|"Side Slope"|||"42909503"|"16970521"
|"Side Slope"|||"42909502"|"16970520"
|"Side Slope"|||"42909501"|"16970519"
|"Side Slope"|||"42909500"|"16970518"
|"Side Slope"|||"42909499"|"16970517"
|"Side Slope"|||"42909498"|"16970516"
|"Side Slope"|||"42909567"|"16970579"
|"Side Slope"|||"42909848"|"16970813"
|"Side Slope"|||"42909846"|"16970812"
|"Side Slope"|||"42909845"|"16970811"
|"Side Slope"|||"42909844"|"16970810"
"Mountainflank"||||"42909791"|"16970769"
"Mountainflank"||||"42909789"|"16970768"
"Mountainflank"||||"42909788"|"16970767"
"Mountainflank"||||"42909787"|"16970766"
"Mountainflank"||||"42909786"|"16970765"
"Mountainflank"||||"42909774"|"16970753"
"Mountainflank"||||"42909773"|"16970752"
||||"42909772"|"16970751"
"Mountainflank"||||"42909772"|"16970750"
"Mountainflank"||||"42909771"|"16970749"
|||"Talf"|"42909770"|"16970748"
|||"Talf"|"42909769"|"16970747"
|||"Talf"|"42909768"|"16970746"
|||"Dip"|"42909766"|"16970744"
|||"Talf"|"42909766"|"16970745"
|||"Talf"|"42909765"|"16970743"
|||"Talf"|"42909764"|"16970742"
|"Interfluve"|||"42909763"|"16970741"
||"Tread"||"42909762"|"16970740"
|"Side Slope"|||"42909758"|"16970736"
|"Nose Slope"|||"42909757"|"16970735"
|"Side Slope"|||"42909756"|"16970734"
|"Side Slope"|||"42909755"|"16970733"
|"Side Slope"|||"42909754"|"16970732"
|"Side Slope"|||"42909753"|"16970731"
|"Side Slope"|||"42909752"|"16970730"
|"Side Slope"|||"42909751"|"16970729"
"Mountainflank"||||"42909750"|"16970728"
"Mountainflank"||||"42909748"|"16970727"
"Mountainflank"||||"42909732"|"16970713"
"Mountainflank"||||"42909731"|"16970712"
|"Interfluve"|||"42909710"|"16970695"
"Mountainflank"||||"42909785"|"16970764"
"Mountainflank"||||"42909784"|"16970763"
"Mountainflank"||||"42909783"|"16970762"
"Mountainflank"||||"42909782"|"16970761"
|"Interfluve"|||"42909711"|"16970696"
|"Side Slope"|||"42909887"|"16970840"
"Mountainflank"||||"42909687"|"16970675"
"Mountainflank"||||"42909686"|"16970674"
"Mountainflank"||||"42909685"|"16970673"
|"Head Slope"|||"42909679"|"16970669"
|"Nose Slope"|||"42909679"|"16970670"
|"Side Slope"|||"42909679"|"16970671"
|"Base Slope"|||"42909679"|"16970672"
|"Head Slope"|||"42909678"|"16970665"
|"Nose Slope"|||"42909678"|"16970666"
|"Side Slope"|||"42909678"|"16970667"
|"Base Slope"|||"42909678"|"16970668"
"Mountainflank"||||"42909676"|"16970664"
"Mountainflank"||||"42909873"|"16970834"
"Mountainflank"||||"42909872"|"16970833"
"Mountainflank"||||"42909671"|"16970663"
"Mountainflank"||||"42909670"|"16970662"
|"Side Slope"|||"42909871"|"16970832"
|"Side Slope"|||"42909870"|"16970831"
|"Side Slope"|||"42909669"|"16970661"
|||"Talf"|"42909875"|"16970836"
"Mountainflank"|"Side Slope"|||"42909667"|"16970660"
"Mountainbase"|"Base Slope"|||"42909487"|"16970506"
|"Side Slope"|||"42909916"|"16970872"
|"Base Slope"|||"42909915"|"16970871"
|"Head Slope"|||"42909914"|"16970870"
|"Side Slope"|||"42909881"|"16970839"
|"Side Slope"|||"42909880"|"16970838"
|"Side Slope"|||"42909879"|"16970837"
|"Head Slope"|||"42909913"|"16970869"
|"Side Slope"|||"42909912"|"16970868"
|"Side Slope"|||"42909911"|"16970867"
|"Base Slope"|||"42909910"|"16970866"
|"Nose Slope"|||"42909909"|"16970864"
|"Side Slope"|||"42909909"|"16970865"
|"Nose Slope"|||"42909908"|"16970862"
|"Side Slope"|||"42909908"|"16970863"
|"Side Slope"|||"42909906"|"16970861"
|"Base Slope"|||"42909905"|"16970860"
|"Base Slope"|||"42909904"|"16970859"
|"Head Slope"|||"42909903"|"16970857"
|"Side Slope"|||"42909903"|"16970858"
|"Side Slope"|||"42909902"|"16970856"
|"Head Slope"|||"42909901"|"16970855"
|"Crest"|||"42909892"|"16970844"
|"Interfluve"|||"42909893"|"16970845"
|"Side Slope"|||"42909891"|"16970843"
|"Interfluve"|||"42909889"|"16970841"
|"Side Slope"|||"42909890"|"16970842"
|"Nose Slope"|||"42909900"|"16970853"
|"Side Slope"|||"42909900"|"16970854"
|"Nose Slope"|||"42909899"|"16970851"
|"Side Slope"|||"42909899"|"16970852"
|"Side Slope"|||"42909897"|"16970850"
|"Nose Slope"|||"42909896"|"16970848"
|"Side Slope"|||"42909896"|"16970849"
"Mountainflank"||||"42909895"|"16970847"
"Mountainflank"||||"42909894"|"16970846"
"Mountainflank"||||"42909874"|"16970835"
