"CL"|Yes|"79599887"|"147323577"
"CH"|No |"79599887"|"147323578"
"CH"|Yes|"79599890"|"147323582"
"CL"|No |"79599890"|"147323583"
"CL"|No |"79599891"|"147323585"
"CH"|Yes|"79599891"|"147323584"
"CL"|Yes|"79599889"|"147323580"
"ML"|No |"79599889"|"147323581"
"CH"|Yes|"79599894"|"147323587"
"CL"|No |"79599894"|"147323588"
"CH"|Yes|"79599893"|"147323586"
"CH"|Yes|"79599896"|"147323589"
"CH"|Yes|"79599897"|"147323590"
"CL"|No |"79599897"|"147323591"
"CH"|Yes|"79599898"|"147323592"
"CL"|No |"79599898"|"147323593"
"CH"|Yes|"79599900"|"147323596"
"CL"|No |"79599900"|"147323597"
"CH"|Yes|"79599901"|"147323598"
"CL"|No |"79599901"|"147323599"
"CL"|Yes|"79599899"|"147323594"
"CL-ML"|No |"79599899"|"147323595"
"MH"|No |"79601335"|"147326235"
"CL"|No |"79601335"|"147326236"
"CH"|Yes|"79601335"|"147326237"
"MH"|No |"79601338"|"147326242"
"CL"|No |"79601338"|"147326243"
"CH"|Yes|"79601338"|"147326244"
"CH"|Yes|"79601337"|"147326240"
"CL"|No |"79601337"|"147326241"
"CH"|Yes|"79601336"|"147326238"
"CL"|No |"79601336"|"147326239"
"CL"|Yes|"79600947"|"147325480"
"CH"|No |"79600947"|"147325481"
"CH"|No |"79600948"|"147325483"
"CL"|Yes|"79600948"|"147325482"
"CL"|Yes|"79600946"|"147325479"
"CH"|Yes|"79600943"|"147325473"
"CL"|No |"79600943"|"147325474"
"CH"|Yes|"79600944"|"147325475"
"CL"|No |"79600944"|"147325476"
"CH"|Yes|"79600945"|"147325477"
"CL"|No |"79600945"|"147325478"
"SC"|Yes|"79599902"|"147323600"
"SC-SM"|No |"79599902"|"147323601"
"CL"|Yes|"79599903"|"147323602"
"CH"|No |"79599903"|"147323603"
"CH"|Yes|"79599904"|"147323604"
"CL"|No |"79599904"|"147323605"
"CH"|Yes|"79599905"|"147323606"
"CL"|No |"79599905"|"147323607"
"CH"|Yes|"79599911"|"147323617"
"CL"|No |"79599911"|"147323618"
"CH"|Yes|"79599912"|"147323619"
"CL"|No |"79599912"|"147323620"
"CL"|Yes|"79599910"|"147323615"
"ML"|No |"79599910"|"147323616"
"CL"|Yes|"79599909"|"147323614"
"CL"|Yes|"79599906"|"147323608"
"CH"|No |"79599906"|"147323609"
"CL"|Yes|"79599907"|"147323610"
"CH"|No |"79599907"|"147323611"
"CH"|No |"79599908"|"147323613"
"CL"|Yes|"79599908"|"147323612"
"CH"|Yes|"79599916"|"147323627"
"CH"|Yes|"79599913"|"147323621"
"CL"|No |"79599913"|"147323622"
"CH"|Yes|"79599914"|"147323623"
"CL"|No |"79599914"|"147323624"
"CH"|Yes|"79599915"|"147323625"
"CL"|No |"79599915"|"147323626"
"CH"|Yes|"79599923"|"147323640"
"CL"|No |"79599923"|"147323641"
"CH"|Yes|"79599919"|"147323632"
"CL"|No |"79599919"|"147323633"
"CH"|Yes|"79599920"|"147323634"
"CL"|No |"79599920"|"147323635"
"CL"|Yes|"79599918"|"147323630"
"ML"|No |"79599918"|"147323631"
"CL"|Yes|"79599917"|"147323628"
"ML"|No |"79599917"|"147323629"
"CL"|Yes|"79599921"|"147323636"
"CH"|No |"79599921"|"147323637"
"CL"|Yes|"79599922"|"147323638"
"CH"|No |"79599922"|"147323639"
"CH"|Yes|"79599927"|"147323648"
"CL"|No |"79599924"|"147323643"
"CH"|Yes|"79599924"|"147323642"
"CH"|Yes|"79599925"|"147323644"
"CL"|No |"79599925"|"147323645"
"CH"|Yes|"79599926"|"147323646"
"CL"|No |"79599926"|"147323647"
"CL"|Yes|"79599931"|"147323654"
"ML"|No |"79599931"|"147323655"
"CL"|Yes|"79599930"|"147323653"
"CL"|Yes|"79599934"|"147323660"
"CH"|No |"79599934"|"147323661"
"CL"|Yes|"79599928"|"147323649"
"CH"|No |"79599928"|"147323650"
"CL"|Yes|"79599929"|"147323651"
"CH"|No |"79599929"|"147323652"
"CH"|Yes|"79599932"|"147323656"
"CL"|No |"79599932"|"147323657"
"CH"|Yes|"79599933"|"147323658"
"CL"|No |"79599933"|"147323659"
"CH"|Yes|"79599988"|"147323746"
"CL"|No |"79599988"|"147323747"
"CH"|Yes|"79599989"|"147323748"
"CL"|No |"79599989"|"147323749"
"CL"|Yes|"79599987"|"147323744"
"ML"|No |"79599987"|"147323745"
"CL"|Yes|"79599983"|"147323737"
"CH"|No |"79599983"|"147323738"
"CL"|Yes|"79599984"|"147323739"
"CH"|No |"79599984"|"147323740"
"CL"|Yes|"79599985"|"147323741"
"CH"|No |"79599985"|"147323742"
"CL"|Yes|"79599986"|"147323743"
"CH"|Yes|"79599991"|"147323750"
"CH"|Yes|"79599992"|"147323751"
"CL"|No |"79599992"|"147323752"
"CL"|Yes|"79599996"|"147323757"
"CL"|Yes|"79599997"|"147323758"
"CL"|Yes|"79599993"|"147323753"
"CL"|Yes|"79599998"|"147323759"
"CL"|Yes|"79599994"|"147323754"
"CL"|Yes|"79599995"|"147323755"
"SC"|No |"79599995"|"147323756"
"CH"|Yes|"79600000"|"147323760"
"CH"|Yes|"79600001"|"147323761"
"CL"|No |"79600001"|"147323762"
"CH"|Yes|"79600007"|"147323772"
"CL"|No |"79600007"|"147323773"
"CH"|Yes|"79600008"|"147323774"
"CL"|No |"79600008"|"147323775"
"CL"|Yes|"79600006"|"147323770"
"ML"|No |"79600006"|"147323771"
"CL"|Yes|"79600005"|"147323769"
"CL"|Yes|"79600003"|"147323765"
"CH"|No |"79600003"|"147323766"
"CL"|Yes|"79600004"|"147323767"
"CH"|No |"79600004"|"147323768"
"CL"|Yes|"79600002"|"147323763"
"CH"|No |"79600002"|"147323764"
"CL"|Yes|"79600011"|"147323778"
"SC"|No |"79600011"|"147323779"
"CL"|Yes|"79600014"|"147323782"
"CL"|Yes|"79600012"|"147323780"
"CL"|Yes|"79600013"|"147323781"
"CL"|Yes|"79600009"|"147323776"
"CL"|Yes|"79600010"|"147323777"
"CH"|Yes|"79600015"|"147323783"
"CL"|No |"79600015"|"147323784"
"CL"|No |"79600016"|"147323786"
"CH"|Yes|"79600016"|"147323785"
"CH"|Yes|"79600017"|"147323787"
"CL"|No |"79600017"|"147323788"
"CH"|Yes|"79600018"|"147323789"
"CH"|Yes|"79600022"|"147323796"
"CH"|Yes|"79600021"|"147323794"
"CL"|No |"79600021"|"147323795"
"CH"|Yes|"79600019"|"147323790"
"CL"|No |"79600019"|"147323791"
"CH"|Yes|"79600020"|"147323792"
"CL"|No |"79600020"|"147323793"
"CL"|Yes|"79600023"|"147323797"
"CH"|No |"79600023"|"147323798"
"CH"|Yes|"79600024"|"147323799"
"CL"|No |"79600024"|"147323800"
"CH"|Yes|"79600025"|"147323801"
"CL"|No |"79600025"|"147323802"
"CH"|Yes|"79600026"|"147323803"
"CL"|No |"79600026"|"147323804"
"CH"|Yes|"79601476"|"147326495"
"CL"|No |"79601476"|"147326496"
"CH"|Yes|"79601474"|"147326491"
"CL"|No |"79601474"|"147326492"
"CL"|No |"79601475"|"147326494"
"CH"|Yes|"79601475"|"147326493"
"CH"|Yes|"79601477"|"147326497"
"SC"|Yes|"79600951"|"147325487"
"CL"|Yes|"79600949"|"147325484"
"CH"|No |"79600949"|"147325485"
"CH"|Yes|"79600952"|"147325488"
"CL"|No |"79600952"|"147325489"
"CL"|Yes|"79600950"|"147325486"
"CL"|Yes|"79600030"|"147323811"
"CH"|Yes|"79600027"|"147323805"
"CL"|No |"79600027"|"147323806"
"CH"|Yes|"79600028"|"147323807"
"CL"|No |"79600028"|"147323808"
"CH"|Yes|"79600029"|"147323809"
"CL"|No |"79600029"|"147323810"
"CL"|Yes|"79600031"|"147323812"
"CH"|No |"79600031"|"147323813"
"CH"|No |"79600032"|"147323815"
"CL"|Yes|"79600032"|"147323814"
"CH"|Yes|"79600038"|"147323825"
"CL"|No |"79600038"|"147323826"
"CH"|Yes|"79600039"|"147323827"
