"smectitic"|"26660886"|"21091208"
"smectitic"|"26660887"|"21091209"
"smectitic"|"26660888"|"21091210"
"smectitic"|"26660889"|"21091211"
"smectitic"|"26660890"|"21091212"
"smectitic"|"26660891"|"21091213"
"mixed"|"26660892"|"21091214"
"smectitic"|"26660893"|"21091215"
"smectitic"|"26660894"|"21091216"
"mixed"|"26660895"|"21091217"
"smectitic"|"26660896"|"21091218"
"smectitic"|"26660897"|"21091219"
"smectitic"|"26660898"|"21091220"
"smectitic"|"26660899"|"21091221"
"smectitic"|"26660900"|"21091222"
"smectitic"|"26660901"|"21091223"
"smectitic"|"26660902"|"21091224"
"smectitic"|"26660903"|"21091225"
"mixed"|"26661243"|"21091612"
"smectitic"|"26661244"|"21091549"
"smectitic"|"26660904"|"21091226"
"smectitic"|"26660905"|"21091227"
"smectitic"|"26660906"|"21091228"
"smectitic"|"26660907"|"21091229"
"smectitic"|"26660908"|"21091230"
"smectitic"|"26660909"|"21091231"
"smectitic"|"26660920"|"21091241"
"smectitic"|"26660921"|"21091242"
"mixed"|"26660922"|"21091243"
"smectitic"|"26660923"|"21091244"
"smectitic"|"26660924"|"21091245"
"mixed"|"26660925"|"21091246"
"smectitic"|"26660926"|"21091247"
"smectitic"|"26660927"|"21091248"
"smectitic"|"26660928"|"21091249"
"smectitic"|"26661245"|"21091611"
"smectitic"|"26661246"|"21091550"
"smectitic"|"26660929"|"21091250"
"smectitic"|"26660930"|"21091251"
"mixed"|"26660931"|"21091252"
"mixed"|"26660932"|"21091253"
"smectitic"|"26660933"|"21091254"
"smectitic"|"26660934"|"21091255"
"mixed"|"26660935"|"21091256"
"mixed"|"26660936"|"21091257"
"mixed"|"26660940"|"21091261"
"mixed"|"26660941"|"21091262"
"mixed"|"26660942"|"21091263"
"mixed"|"26660943"|"21091264"
"mixed"|"26660944"|"21091265"
"mixed"|"26660945"|"21091266"
"mixed"|"26660946"|"21091267"
"mixed"|"26660947"|"21091268"
"mixed"|"26660948"|"21091269"
"smectitic"|"26660949"|"21091270"
"smectitic"|"26660950"|"21091271"
"smectitic"|"26660951"|"21091272"
"smectitic"|"26660952"|"21091273"
"smectitic"|"26660953"|"21091274"
"smectitic"|"26660954"|"21091275"
"smectitic"|"26660955"|"21091276"
"smectitic"|"26660956"|"21091277"
"smectitic"|"26660957"|"21091278"
"smectitic"|"26660958"|"21091279"
"mixed"|"26660959"|"21091280"
"mixed"|"26660961"|"21091281"
"mixed"|"26660962"|"21091282"
"smectitic"|"26661247"|"21091551"
"smectitic"|"26661248"|"21091552"
"smectitic"|"26661249"|"21091553"
"mixed"|"26661250"|"21091554"
"smectitic"|"26660963"|"21091283"
"smectitic"|"26660964"|"21091284"
"smectitic"|"26660965"|"21091285"
"smectitic"|"26660966"|"21091286"
"mixed"|"26660967"|"21091287"
"smectitic"|"26660968"|"21091288"
"mixed"|"26660969"|"21091289"
"smectitic"|"26660970"|"21091290"
"smectitic"|"26660971"|"21091291"
"mixed"|"26660972"|"21091292"
"mixed"|"26660973"|"21091293"
"mixed"|"26660974"|"21091294"
"mixed"|"26660975"|"21091295"
"mixed"|"26660976"|"21091296"
"mixed"|"26660977"|"21091297"
"mixed"|"26660978"|"21091298"
"mixed"|"26660979"|"21091299"
"mixed"|"26660980"|"21091300"
"mixed"|"26660981"|"21091301"
"mixed"|"26660982"|"21091302"
"mixed"|"26660983"|"21091303"
"mixed"|"26660984"|"21091304"
"mixed"|"26660985"|"21091305"
"mixed"|"26660986"|"21091306"
"mixed"|"26660987"|"21091307"
"micaceous"|"26660988"|"21091308"
"smectitic"|"26660989"|"21091309"
"smectitic"|"26660990"|"21091310"
"mixed"|"26660991"|"21091311"
"smectitic"|"26660992"|"21091312"
"mixed"|"26660993"|"21091313"
"mixed"|"26660994"|"21091314"
"mixed"|"26660995"|"21091315"
"smectitic"|"26660996"|"21091316"
"mixed"|"26660997"|"21091317"
"mixed"|"26660998"|"21091318"
"smectitic"|"26660999"|"21091319"
"smectitic"|"26661000"|"21091320"
"mixed"|"26661001"|"21091321"
"smectitic"|"26661002"|"21091322"
"smectitic"|"26661003"|"21091323"
"mixed"|"26661004"|"21091324"
"smectitic"|"26661005"|"21091325"
"mixed"|"26661006"|"21091326"
"mixed"|"26661007"|"21091327"
"mixed"|"26661008"|"21091328"
"smectitic"|"26661009"|"21091329"
"mixed"|"26661010"|"21091330"
"mixed"|"26661011"|"21091331"
"mixed"|"26661012"|"21091332"
"mixed"|"26661013"|"21091333"
"mixed"|"26661014"|"21091334"
"smectitic"|"26661015"|"21091335"
"smectitic"|"26661016"|"21091336"
"mixed"|"26661017"|"21091337"
"smectitic"|"26661018"|"21091338"
"mixed"|"26661019"|"21091339"
"mixed"|"26661020"|"21091340"
"mixed"|"26661021"|"21091341"
"mixed"|"26661022"|"21091342"
"mixed"|"26661023"|"21091343"
"smectitic"|"26661024"|"21091344"
"mixed"|"26661025"|"21091345"
"mixed"|"26661027"|"21091346"
"smectitic"|"26661028"|"21091347"
"mixed"|"26661029"|"21091348"
"mixed"|"26661030"|"21091349"
"mixed"|"26661031"|"21091350"
"smectitic"|"26661032"|"21091351"
"mixed"|"26661033"|"21091352"
"smectitic"|"26661034"|"21091353"
"mixed"|"26661035"|"21091354"
"smectitic"|"26661036"|"21091355"
"smectitic"|"26661037"|"21091356"
"mixed"|"26661038"|"21091357"
"smectitic"|"26661039"|"21091358"
"mixed"|"26661040"|"21091359"
"mixed"|"26661041"|"21091360"
"mixed"|"26661042"|"21091361"
"mixed"|"26661043"|"21091362"
"mixed"|"26661044"|"21091363"
"mixed"|"26661046"|"21091364"
"smectitic"|"26661047"|"21091365"
"smectitic"|"26661048"|"21091366"
"smectitic"|"26661049"|"21091367"
"smectitic"|"26661050"|"21091368"
"mixed"|"26661251"|"21091555"
"mixed"|"26661252"|"21091556"
"mixed"|"26661253"|"21091610"
"mixed"|"26661254"|"21091557"
"smectitic"|"26661051"|"21091369"
"mixed"|"26661052"|"21091370"
"mixed"|"26661053"|"21091371"
"mixed"|"26661054"|"21091372"
"mixed"|"26661055"|"21091373"
"mixed"|"26661056"|"21091374"
"smectitic"|"26661057"|"21091375"
"mixed"|"26661058"|"21091376"
"mixed"|"26661059"|"21091377"
"mixed"|"26661060"|"21091378"
"mixed"|"26661061"|"21091379"
"mixed"|"26661063"|"21091380"
"mixed"|"26661064"|"21091381"
"mixed"|"26661066"|"21091382"
"mixed"|"26661067"|"21091383"
"smectitic"|"26661068"|"21091384"
"mixed"|"26661069"|"21091385"
"mixed"|"26661070"|"21091386"
"smectitic"|"26661071"|"21091387"
"mixed"|"26661072"|"21091388"
"mixed"|"26661073"|"21091389"
