"Loam"||"161559970"|"164310968"
"Clay loam"||"161559965"|"164310963"
"Clay"||"161559966"|"164310964"
"Clay loam"||"161559971"|"164310969"
"Loam"||"161559972"|"164310970"
"Silt loam"||"161559973"|"164310971"
"Clay"||"161559967"|"164310965"
"Clay loam"||"161559968"|"164310966"
"Silty clay"||"161559969"|"164310967"
"Clay"||"161559974"|"164310972"
"Clay loam"||"161559975"|"164310973"
"Silty clay"||"161559976"|"164310974"
"Sandy clay loam"||"161559983"|"164310981"
"Clay"||"161559984"|"164310982"
"Clay loam"||"161559985"|"164310983"
"Loam"||"161559979"|"164310977"
"Clay loam"||"161559987"|"164310985"
"Clay"||"161559988"|"164310986"
"Sandy clay loam"||"161559980"|"164310978"
"Clay"||"161559981"|"164310979"
"Clay loam"||"161559982"|"164310980"
"Clay loam"||"161559977"|"164310975"
"Clay"||"161559978"|"164310976"
"Loam"||"161559986"|"164310984"
"Clay loam"||"161560002"|"164311000"
"Silty clay loam"||"161560003"|"164311001"
"Clay"||"161560004"|"164311002"
"Silty clay"||"161559996"|"164310994"
"Clay"||"161559997"|"164310995"
"Silty clay loam"||"161559998"|"164310996"
"Clay loam"||"161559993"|"164310991"
"Silty clay loam"||"161559994"|"164310992"
"Silty clay"||"161559995"|"164310993"
"Clay loam"||"161559999"|"164310997"
"Silty clay loam"||"161560000"|"164310998"
"Clay"||"161560001"|"164310999"
"Clay loam"||"161559989"|"164310987"
"Clay"||"161559990"|"164310988"
"Silty clay"||"161559991"|"164310989"
"Silty clay loam"||"161559992"|"164310990"
"Clay"||"161560014"|"164311012"
"Clay loam"||"161560015"|"164311013"
"Silty clay"||"161560016"|"164311014"
"Clay"||"161560007"|"164311005"
"Clay loam"||"161560008"|"164311006"
"Silty clay"||"161560009"|"164311007"
"Clay loam"||"161560011"|"164311009"
"Loam"||"161560012"|"164311010"
"Silt loam"||"161560013"|"164311011"
"Clay loam"||"161560005"|"164311003"
"Clay"||"161560006"|"164311004"
"Loam"||"161560010"|"164311008"
"Sandy clay loam"||"161560021"|"164311019"
"Clay"||"161560022"|"164311020"
"Clay loam"||"161560023"|"164311021"
"Clay loam"||"161560027"|"164311025"
"Clay"||"161560028"|"164311026"
"Loam"||"161560019"|"164311017"
"Sandy clay loam"||"161560024"|"164311022"
"Clay"||"161560025"|"164311023"
"Clay loam"||"161560026"|"164311024"
"Clay loam"||"161560017"|"164311015"
"Clay"||"161560018"|"164311016"
"Loam"||"161560020"|"164311018"
"Clay loam"||"161560036"|"164311034"
"Clay"||"161560037"|"164311035"
"Clay loam"||"161560038"|"164311036"
"Clay loam"||"161560039"|"164311037"
"Clay"||"161560040"|"164311038"
"Loam"||"161560029"|"164311027"
"Sandy clay loam"||"161560033"|"164311031"
"Loam"||"161560034"|"164311032"
"Clay loam"||"161560035"|"164311033"
"Silty clay loam"||"161560030"|"164311028"
"Clay loam"||"161560031"|"164311029"
"Clay"||"161560032"|"164311030"
"Loam"||"161560043"|"164311041"
"Sandy loam"||"161560045"|"164311043"
"Clay loam"||"161560041"|"164311039"
"Clay loam"||"161560044"|"164311042"
"Loam"||"161560042"|"164311040"
"Clay loam"||"161560050"|"164311048"
"Clay"||"161560051"|"164311049"
"Clay"||"161560052"|"164311050"
"Loam"||"161560046"|"164311044"
"Clay"||"161560049"|"164311047"
"Clay"||"161560048"|"164311046"
"Clay"||"161560047"|"164311045"
"Clay"||"161560053"|"164311051"
"Clay"||"161560054"|"164311052"
"Clay"||"161560055"|"164311053"
"Loam"||"161560064"|"164311062"
"Clay"||"161560058"|"164311056"
"Clay loam"||"161560059"|"164311057"
"Silty clay"||"161560060"|"164311058"
"Clay"||"161560061"|"164311059"
"Clay loam"||"161560062"|"164311060"
"Silty clay"||"161560063"|"164311061"
"Clay loam"||"161560065"|"164311063"
"Loam"||"161560066"|"164311064"
"Silt loam"||"161560067"|"164311065"
"Clay loam"||"161560056"|"164311054"
"Clay"||"161560057"|"164311055"
"Loam"||"161560068"|"164311066"
"Loamy sand"||"161560069"|"164311067"
"Sandy loam"||"161560070"|"164311068"
"Sandy clay loam"||"161560072"|"164311070"
"Fine sandy loam"||"161560073"|"164311071"
|"Moderately decomposed plant material"|"161560071"|"164311069"
"Sand"||"161560076"|"164311074"
"Loamy sand"||"161560075"|"164311073"
"Fine sand"||"161560074"|"164311072"
|"Bedrock"|"161560077"|"164311075"
"Silty clay"||"161560085"|"164311083"
"Clay"||"161560086"|"164311084"
"Silty clay loam"||"161560087"|"164311085"
"Silty clay loam"||"161560088"|"164311086"
"Clay"||"161560081"|"164311079"
"Silty clay"||"161560082"|"164311080"
"Clay"||"161560078"|"164311076"
"Silty clay"||"161560079"|"164311077"
"Silty clay loam"||"161560080"|"164311078"
"Clay"||"161560083"|"164311081"
"Silty clay"||"161560084"|"164311082"
"Clay loam"||"161560098"|"164311096"
"Clay"||"161560099"|"164311097"
"Clay loam"||"161560100"|"164311098"
"Clay"||"161560101"|"164311099"
"Loam"||"161560097"|"164311095"
"Loam"||"161560095"|"164311093"
"Clay loam"||"161560096"|"164311094"
"Clay loam"||"161560089"|"164311087"
"Clay"||"161560090"|"164311088"
"Clay loam"||"161560091"|"164311089"
"Clay"||"161560092"|"164311090"
"Clay loam"||"161560093"|"164311091"
"Clay"||"161560094"|"164311092"
"Silty clay"||"161560108"|"164311106"
"Clay"||"161560103"|"164311101"
"Silty clay"||"161560102"|"164311100"
"Silty clay"||"161560104"|"164311102"
"Clay"||"161560105"|"164311103"
"Silty clay"||"161560106"|"164311104"
"Clay"||"161560107"|"164311105"
"Silty clay"||"161560110"|"164311108"
"Clay"||"161560111"|"164311109"
"Silty clay"||"161560112"|"164311110"
"Silty clay"||"161560116"|"164311114"
"Silty clay loam"||"161560117"|"164311115"
"Clay"||"161560118"|"164311116"
"Silty clay"||"161560113"|"164311111"
"Clay"||"161560114"|"164311112"
"Silty clay loam"||"161560115"|"164311113"
|"Bedrock"|"161560109"|"164311107"
"Loam"||"161560125"|"164311123"
"Clay loam"||"161560126"|"164311124"
"Clay loam"||"161560119"|"164311117"
"Clay"||"161560120"|"164311118"
"Clay loam"||"161560121"|"164311119"
"Clay"||"161560122"|"164311120"
"Clay loam"||"161560123"|"164311121"
