"2"|"26660895"|"6012455"
"4"|"26660895"|"6012456"
"2"|"26660961"|"6012459"
"4"|"26660961"|"6012460"
"2"|"26661250"|"6012520"
"4"|"26661250"|"6012521"
"2"|"26660967"|"6012461"
"4"|"26660967"|"6012462"
"2"|"26660969"|"6012463"
"4"|"26660969"|"6012464"
"2"|"26660972"|"6012465"
"4"|"26660972"|"6012466"
"2"|"26660983"|"6012467"
"4"|"26660983"|"6012468"
"2"|"26660986"|"6012469"
"4"|"26660986"|"6012470"
"2"|"26660993"|"6012471"
"4"|"26660993"|"6012472"
"2"|"26661013"|"6012473"
"4"|"26661013"|"6012474"
"2"|"26661020"|"6012475"
"4"|"26661020"|"6012476"
"2"|"26661035"|"6012477"
"4"|"26661035"|"6012478"
"2"|"26661038"|"6012479"
"4"|"26661038"|"6012480"
"2"|"26661053"|"6012482"
"4"|"26661053"|"6012481"
"2"|"26661054"|"6012483"
"4"|"26661054"|"6012484"
"2"|"26661075"|"6012486"
"4"|"26661075"|"6012485"
"2"|"26661079"|"6012487"
"4"|"26661079"|"6012488"
"2"|"26661083"|"6012489"
"4"|"26661083"|"6012490"
"2"|"26661087"|"6012491"
"4"|"26661087"|"6012492"
"2"|"26661112"|"6012495"
"2"|"26661117"|"6012496"
"4"|"26661117"|"6012497"
"2"|"26661126"|"6012498"
"4"|"26661126"|"6012499"
"2"|"26661137"|"6012500"
"4"|"26661137"|"6012501"
"2"|"26661142"|"6012502"
"4"|"26661142"|"6012503"
"2"|"26661147"|"6012504"
"4"|"26661147"|"6012505"
"2"|"26661193"|"6012510"
"4"|"26661193"|"6012511"
"2"|"26661214"|"6012514"
"4"|"26661214"|"6012515"
"2"|"26661234"|"6012517"
"4"|"26661234"|"6012516"
"2"|"26660938"|"6012457"
"2"|"26660939"|"6012458"
"2"|"26661091"|"6012493"
"4"|"26661091"|"6012494"
"2"|"26661172"|"6012506"
"4"|"26661172"|"6012507"
"2"|"26661174"|"6012508"
"4"|"26661174"|"6012509"
"2"|"26661191"|"6012518"
"4"|"26661191"|"6012519"
"2"|"26661209"|"6012512"
"4"|"26661209"|"6012513"
"2"|"26661268"|"6012522"
"2"|"26661297"|"6012523"
